pmid,journal,doi,issn,publisher
20149318,Clin Exp Rheumatol,,0392-856X,Clinical and Experimental Rheumatology
10855636,J Nucl Med,,0161-5505,Society of Nuclear Medicine
12384561,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
26883632,Nucleic Acids Res,10.1093/nar/gkw086,1362-4962,Oxford University Press (OUP)
15490883,Yi Chuan Xue Bao,,0379-4172,Elsevier BV
11691828,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
17970088,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
11023510,Blood,,0006-4971,American Society of Hematology
36443051,Sichuan Da Xue Xue Bao Yi Xue Ban,10.12182/20221160201,1672-173X,
12086398,J Environ Pathol Toxicol Oncol,,0731-8898,Begell House
16383036,Zhonghua Shao Shang Za Zhi,,1009-2587,
11583324,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
26964362,Mikrobiologiia,,0026-3656,Akademizdatcenter Nauka
11929784,Blood,,0006-4971,American Society of Hematology
11776314,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
18319612,Mol Cells,,1016-8478,Elsevier BV
21179700,Hua Xi Kou Qiang Yi Xue Za Zhi,,1000-1182,
28446410,Nan Fang Yi Ke Da Xue Xue Bao,10.3969/j.issn.1673-4254.2017.04.20,1673-4254,
15171253,Novartis Found Symp,,1528-2511,
12449636,Mikrobiologiia,,0026-3656,Akademizdatcenter Nauka
17139372,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
11299835,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
12176893,Blood,,0006-4971,American Society of Hematology
16865289,Int J Oncol,,1019-6439,Spandidos Publications
19693287,Mol Vis,,1090-0535,
21692033,Histol Histopathol,10.14670/HH-26.1007,1699-5848,
22838206,Indian J Tuberc,,0019-5707,Elsevier BV
21427980,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
18030284,Environ Sci,,0915-955X,
12174582,Genetika,,0016-6758,The Russian Academy of Sciences
16258401,Med Sci Monit,,1234-1010,"International Scientific Information, Inc."
24941761,Zhonghua Zheng Xing Wai Ke Za Zhi,,1009-4598,
35747942,Histol Histopathol,10.14670/HH-18-484,1699-5848,
11234401,Prikl Biokhim Mikrobiol,,0555-1099,Akademizdatcenter Nauka
19916321,Patol Fiziol Eksp Ter,,0031-2991,Cifra Ltd - Russian Agency for Digital Standardization (RADS)
12029002,Clin Chem,,0009-9147,Oxford University Press (OUP)
11697235,Recept Channels,,1060-6823,Informa UK Limited
24623969,Mol Vis,,1090-0535,
17487359,Int J Oncol,,1019-6439,Spandidos Publications
23302462,Zhonghua Wai Ke Za Zhi,,0529-5815,
26977027,Anticancer Res,,1791-7530,Anticancer Research USA Inc.
12516962,Mol Cancer Ther,,1535-7163,American Association for Cancer Research (AACR)
25816527,Zh Mikrobiol Epidemiol Immunobiol,,0372-9311,Central Research Institute for Epidemiology
11551150,Physiol Res,,0862-8408,Institute of Physiology of the Czech Academy of Sciences
17912804,Wiad Parazytol,,0043-5163,
11860933,Zhonghua Yu Fang Yi Xue Za Zhi,,0253-9624,
16459354,Zh Nevrol Psikhiatr Im S S Korsakova,,1997-7298,Media Sphere Publishing Group
17908505,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
11289106,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
28820402,J Physiol Pharmacol,,1899-1505,
21542284,Yao Xue Xue Bao,,0513-4870,
33013268,EXCLI J,10.17179/excli2020-2286,1611-2156,
23610920,Mikrobiologiia,,0026-3656,Akademizdatcenter Nauka
16511355,Mol Cells,,1016-8478,Elsevier BV
17111826,Yao Xue Xue Bao,,0513-4870,
15481790,Chin J Physiol,,0304-4920,Medknow
10657247,Biochem J,,0264-6021,Portland Press Ltd.
32186099,J Tradit Chin Med,,2589-451X,
21109931,Int J Oncol,,1791-2423,Spandidos Publications
34179196,Iran J Biotechnol,10.30498/IJB.2021.2783,1728-3043,Armenian Green Publishing Co.
16012770,Int J Mol Med,,1107-3756,Spandidos Publications
11053283,Invest Ophthalmol Vis Sci,,0146-0404,Association for Research in Vision and Ophthalmology (ARVO)
20922681,G Ital Nefrol,,0393-5590,
11771326,Prikl Biokhim Mikrobiol,,0555-1099,Pleiades Publishing Ltd
33601825,Trop Biomed,,2521-9855,Malaysian Society of Parasitology and Tropical Medicine
12778796,Zhonghua Zheng Xing Wai Ke Za Zhi,,1009-4598,
22642083,Klin Khir,,0023-2130,"Liga-Inform, Ltd."
14558965,Ai Zheng,,,
26480761,Nihon Rinsho,,0047-1852,
12701794,J Heart Valve Dis,,0966-8519,International Academic and Research Consortium
16029568,Zhonghua Yi Xue Za Zhi,,0376-2491,
21340435,Sheng Li Xue Bao,,0371-0874,
37963752,Zhonghua Xin Xue Guan Bing Za Zhi,10.3760/cma.j.cn112148-20230918-00171,0253-3758,
24319944,Zhonghua Shi Yan He Lin Chuang Bing Du Xue Za Zhi,,1003-9279,
33268576,Zhong Nan Da Xue Xue Bao Yi Xue Ban,10.11817/j.issn.1672-7347.2020.190241,1672-7347,
36247238,Am J Transl Res,,1943-8141,e-Century Publishing Corporation
25204079,Indian J Biochem Biophys,,0301-1208,CSIR-National Institute of Science Communication and Policy Research (NIScPR)
17786272,Int J Mol Med,,1107-3756,Spandidos Publications
21211436,Zhonghua Kou Qiang Yi Xue Za Zhi,,1002-0098,
20344938,Wei Sheng Wu Xue Bao,,0001-6209,China Science Publishing & Media Ltd.
15526467,Biofizika,,0006-3029,Pleiades Publishing Ltd
15269981,Zhejiang Da Xue Xue Bao Yi Xue Ban,10.3785/j.issn.1008-9292.2004.04.008,1008-9292,China Science Publishing & Media Ltd.
20003764,J Biol Regul Homeost Agents,,0393-974X,
16329651,Ernst Schering Res Found Workshop,,0947-6075,Springer Berlin Heidelberg
21369644,J Drugs Dermatol,,1545-9616,SanovaWorks
23114254,MMWR Morb Mortal Wkly Rep,,1545-861X,Centers for Disease Control MMWR Office
26191190,Int J Clin Exp Pathol,,1936-2625,e-Century Publishing Corporation
22582503,Clin Lab,,1433-6510,Clinical Laboratory Publications
19105276,Zhongguo Gu Shang,,1003-0034,
24868914,Ukr Biochem J,,2409-4943,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka)
29974848,Cell Mol Biol (Noisy-le-grand),,1165-158X,CMB Association
16235546,Sichuan Da Xue Xue Bao Yi Xue Ban,,1672-173X,
10698689,Biochem J,,0264-6021,Portland Press Ltd.
26535185,Transl Med UniSa,,2239-9747,"Translational Medicine, University of Salerno"
28781278,Rinsho Ketsueki,10.11406/rinketsu.58.806,0485-1439,
17264961,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
11372677,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
12147616,Invest Ophthalmol Vis Sci,,0146-0404,Association for Research in Vision and Ophthalmology (ARVO)
17592551,Mol Med,10.2119/2006–00091.Carelli,1076-1551,Springer Science and Business Media LLC
11891855,J Cell Biochem,,0730-2312,Wiley
20183801,Histol Histopathol,10.14670/HH-25.485,1699-5848,
23944053,Zhongguo Zhong Yao Za Zhi,,1001-5302,China Journal of Chinese Materia Medica
26263631,Mikrobiologiia,,0026-3656,Akademizdatcenter Nauka
16964381,Int J Oncol,,1019-6439,Spandidos Publications
18064323,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
19785955,Zhonghua Gan Zang Bing Za Zhi,,1007-3418,
12458325,Neoplasma,,0028-2685,"AEPress, s.r.o."
22442976,Zh Mikrobiol Epidemiol Immunobiol,,0372-9311,Central Research Institute for Epidemiology
23369087,J Immunotoxicol,10.3109/1547691X.2013.763872,1547-6901,Informa UK Limited
12524983,Probl Tuberk,,0032-9533,
23600199,Sichuan Da Xue Xue Bao Yi Xue Ban,,1672-173X,
14503849,Mol Cells,,1016-8478,Elsevier BV
10706873,Blood,,0006-4971,American Society of Hematology
18547981,Mol Cells,,1016-8478,Elsevier BV
17393579,Br J Cancer,,0007-0920,Springer Science and Business Media LLC
17806217,Med Tr Prom Ekol,,1026-9428,FSBI Research Institute of Occupational Health RAMS
21176350,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137,
12053755,Cas Lek Cesk,,0008-7335,
21464593,J Microbiol Biotechnol,,1738-8872,Korean Society for Microbiology and Biotechnology
17083810,Zhonghua Fu Chan Ke Za Zhi,,0529-567X,
11310559,Biochem Cell Biol,,0829-8211,Canadian Science Publishing
19226769,Commun Agric Appl Biol Sci,,1379-1176,
14769205,Acta Pharmacol Sin,,1671-4083,Springer Science and Business Media LLC
15496829,Mol Vis,,1090-0535,
28956420,J Biol Regul Homeost Agents,,0393-974X,
11272280,J Leukoc Biol,,0741-5400,Oxford University Press (OUP)
11432805,Cell Growth Differ,,1044-9523,
12905658,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,,1000-503X,
19085831,Histol Histopathol,10.14670/HH-24.149,1699-5848,
14677173,J Rheumatol,,0315-162X,The Journal of Rheumatology
22396869,Aging Dis,,2152-5250,Aging and Disease
12567182,Mol Vis,,1090-0535,
15667795,Chin Med J (Engl),,0366-6999,Ovid Technologies (Wolters Kluwer Health)
23127396,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
11497261,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
12506326,Sheng Li Xue Bao,,0371-0874,
15490874,Yi Chuan Xue Bao,,0379-4172,Elsevier BV
23738399,J Indian Med Assoc,,0019-5847,
26667573,Folia Biol (Praha),,0015-5500,"Charles University in Prague, Karolinum Press"
25161284,Proc Natl Acad Sci U S A,10.1073/pnas.1321940111,1091-6490,Proceedings of the National Academy of Sciences
30556867,Eur Rev Med Pharmacol Sci,10.26355/eurrev_201812_16524,2284-0729,
23173123,Acta Biochim Pol,,1734-154X,Frontiers Media SA
20806082,Mol Vis,,1090-0535,
28186120,Sci Rep,10.1038/srep42166,2045-2322,Springer Science and Business Media LLC
23700898,Rev Med Chir Soc Med Nat Iasi,,0048-7848,Grigore T. Popa University of Medicine and Pharmacy
16734118,Egypt J Immunol,,1110-4902,Egyptian Association of Immunologists
31036909,Nat Microbiol,10.1038/s41564-019-0431-8,2058-5276,Springer Science and Business Media LLC
31635448,J Biol Regul Homeost Agents,10.23812/19-97-L,0393-974X,
11050005,Blood,,0006-4971,American Society of Hematology
18546511,Genome Inform,,0919-9454,
26492646,Pharmazie,,0031-7144,
31631594,Sichuan Da Xue Xue Bao Yi Xue Ban,,1672-173X,
12149570,Mol Med,,1076-1551,Springer Science and Business Media LLC
26259392,J Exp Ther Oncol,,1359-4117,Wiley
11049968,Blood,,0006-4971,American Society of Hematology
17633210,Yao Xue Xue Bao,,0513-4870,
14628085,Neoplasma,,0028-2685,"AEPress, s.r.o."
25931227,Zhong Nan Da Xue Xue Bao Yi Xue Ban,10.11817/j.issn.1672-7347.2015.04.001,1672-7347,
10741715,Clin Cancer Res,,1078-0432,American Association for Cancer Research (AACR)
12627902,J Pak Med Assoc,,0030-9982,Pakistan Medical Association
21395010,Eksp Klin Farmakol,,0869-2092,Folium Publishing Company
11693377,Indian J Biochem Biophys,,0301-1208,CSIR-National Institute of Science Communication and Policy Research (NIScPR)
10871296,J Pharmacol Exp Ther,,0022-3565,American Society for Pharmacology & Experimental Therapeutics (ASPET)
20968036,Fiziol Zh (1994),,2522-9028,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka)
11309333,Clin Cancer Res,,1078-0432,American Association for Cancer Research (AACR)
11780325,Chin Med J (Engl),,0366-6999,Ovid Technologies (Wolters Kluwer Health)
26722046,Anticancer Res,,1791-7530,Anticancer Research USA Inc.
30201066,Zhongguo Fei Ai Za Zhi,10.3779/j.issn.1009-3419.2018.09.05,1999-6187,
17515111,Nihon Shinkei Seishin Yakurigaku Zasshi,,1340-2544,
26502537,Zhen Ci Yan Jiu,,1000-0607,
18320118,Biomedica,,0120-4157,Instituto Nacional de Salud (Colombia)
15634544,Zhonghua Nei Ke Za Zhi,,0578-1426,
23458003,Gig Sanit,,0016-9900,Federal Scientific Center for Hygiene F.F.Erisman
14712927,Novartis Found Symp,,1528-2511,
11961590,Sheng Li Xue Bao,,0371-0874,
12640971,Lakartidningen,,0023-7205,
11317942,Scand J Clin Lab Invest Suppl,,0085-591X,
17595870,Rev Med Chir Soc Med Nat Iasi,,0048-7848,Grigore T. Popa University of Medicine and Pharmacy
17722604,Vopr Virusol,,0507-4088,Central Research Institute for Epidemiology
19788872,Discov Med,,1944-7930,
23786011,Lik Sprava,,1019-5297,LLC Information and Research Center Likarska Sprava
29169414,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
11887894,Space Med Med Eng (Beijing),,1002-0837,
19035205,Zhonghua Wai Ke Za Zhi,,0529-5815,
12168722,Gen Physiol Biophys,,0231-5882,"AEPress, s.r.o."
12673889,Clin Exp Rheumatol,,0392-856X,Clinical and Experimental Rheumatology
11104699,Biochem J,,0264-6021,Portland Press Ltd.
32975230,J Biosci,,0973-7138,Springer Science and Business Media LLC
24466583,Toxicol Appl Pharmacol,,1096-0333,
18349508,Zhi Wu Sheng Li Yu Fen Zi Sheng Wu Xue Xue Bao,,1671-3877,
10971962,Vopr Virusol,,0507-4088,Central Research Institute for Epidemiology
11358847,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
21756776,Zhonghua Yi Xue Za Zhi,,0376-2491,
12654237,Zhonghua Nei Ke Za Zhi,,0578-1426,
17094896,Ai Zheng,,,
12207699,Mol Microbiol,10.1046/j.1365-2958.2002.03097.x,0950-382X,Wiley
21699019,J Exp Ther Oncol,,1359-4117,Wiley
10813389,Crit Rev Eukaryot Gene Expr,,1045-4403,Begell House
19595136,Zhonghua Yi Xue Za Zhi,,0376-2491,
25433105,Nutr Hosp,10.3305/nh.2014.30.6.7843,1699-5198,ARAN Ediciones
19526678,Acta Pharm Hung,,0001-6659,Acta Pharmaceutica Hungarica
24273277,Nan Fang Yi Ke Da Xue Xue Bao,,1673-4254,
18690338,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
17332928,Int J Oncol,,1019-6439,Spandidos Publications
11816708,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
10939591,Cell Growth Differ,,1044-9523,
17503399,Genome Inform,,0919-9454,
10851036,Biochemistry (Mosc),,0006-2979,Springer Science and Business Media LLC
11234377,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
10737936,Proteins,,0887-3585,Wiley
10648385,Blood,,0006-4971,American Society of Hematology
21696053,Clin Transpl,,0890-9016,
15214174,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
24980769,Exp Oncol,,2312-8852,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka) (Publications)
12153047,J Biomol NMR,,0925-2738,Springer Science and Business Media LLC
29512643,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
11016654,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
27273962,J BUON,,1107-0625,
11107906,Rev Cubana Med Trop,,0375-0760,
27101705,Wei Sheng Wu Xue Bao,,0001-6209,China Science Publishing & Media Ltd.
12408269,J Indian Med Assoc,,0019-5847,
11780616,Phys Med,,1120-1797,Elsevier BV
10921998,J Physiol,,0022-3751,Wiley
23902617,Zhonghua Yi Xue Za Zhi,,0376-2491,
25895368,Bioorg Khim,,0132-3423,Akademizdatcenter Nauka
20942149,Nihon Rinsho,,0047-1852,
18050673,Rinsho Byori,,0047-1860,
16846073,Ukr Biokhim Zh (1999),,,
16496042,Acta Biochim Pol,,0001-527X,Frontiers Media SA
26537074,J BUON,,1107-0625,
12147602,Invest Ophthalmol Vis Sci,,0146-0404,Association for Research in Vision and Ophthalmology (ARVO)
20448477,Cell Cycle,,1551-4005,Informa UK Limited
18260735,Asian Pac J Cancer Prev,,2476-762X,EpiSmart Science Vector Ltd
16161923,Pol Merkur Lekarski,,1426-9686,ALUNA
11712088,Int J Mol Med,,1107-3756,Spandidos Publications
25400745,Int J Clin Exp Pathol,,1936-2625,e-Century Publishing Corporation
19149969,Cell Mol Biol (Noisy-le-grand),,1165-158X,CMB Association
11714848,J Lipid Res,,0022-2275,Elsevier BV
19082480,Int J Oncol,,1019-6439,Spandidos Publications
12499254,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
20077813,Rinsho Byori,,0047-1860,
26292509,Eksp Klin Farmakol,,0869-2092,Folium Publishing Company
18719355,Mol Cells,,1016-8478,Elsevier BV
26408706,Anticancer Res,,1791-7530,Anticancer Research USA Inc.
20941987,Nihon Rinsho,,0047-1852,
12393932,Mol Med,,1076-1551,Springer Science and Business Media LLC
18756949,Zhonghua Yi Xue Za Zhi,,0376-2491,
32373306,Iran J Basic Med Sci,10.22038/ijbms.2019.32414.7989,2008-3866,
15141021,Mol Cancer Ther,,1535-7163,American Association for Cancer Research (AACR)
18357714,Zhonghua Er Bi Yan Hou Tou Jing Wai Ke Za Zhi,,1673-0860,
32644477,StatPearls,,,
32187520,Immunity,10.1016/j.immuni.2020.02.007,1097-4180,
33533447,Acta Chim Slov,,1580-3155,Slovenian Chemical Society
22164419,Klin Lab Diagn,,0869-2084,EKOlab
10921297,Nihon Igaku Hoshasen Gakkai Zasshi,,0048-0428,
23750400,Zhong Yao Cai,,1001-4454,
16358983,Rocz Akad Med Bialymst,,,
26722602,Int J Clin Exp Pathol,,1936-2625,e-Century Publishing Corporation
16511922,J Rheumatol,,0315-162X,The Journal of Rheumatology
29166726,Zhonghua Xin Xue Guan Bing Za Zhi,10.3760/cma.j.issn.0253-3758.2017.11.015,0253-3758,
31205408,Mol Vis,,1090-0535,
28539744,Pharmacognosy Res,10.4103/0974-8490.204655,0976-4836,EManuscript Technologies
28086193,Redox Biol,10.1016/j.redox.2016.12.028,2213-2317,Elsevier BV
30840296,Eur Rev Med Pharmacol Sci,10.26355/eurrev_201902_17133,2284-0729,
12938419,Guang Pu Xue Yu Guang Pu Fen Xi,,1000-0593,
11200136,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
12846047,Clin Exp Rheumatol,,0392-856X,Clinical and Experimental Rheumatology
23516891,Radiats Biol Radioecol,,0869-8031,The Russian Academy of Sciences
12803483,Mol Cells,,1016-8478,Elsevier BV
36725274,Zhongguo Zhong Yao Za Zhi,10.19540/j.cnki.cjcmm.20221014.701,1001-5302,China Journal of Chinese Materia Medica
11720282,RNA,,1355-8382,Cold Spring Harbor Laboratory
11310979,Acta Biochim Pol,,0001-527X,Frontiers Media SA
10807783,Blood,,0006-4971,American Society of Hematology
19220965,Zhongguo Wei Zhong Bing Ji Jiu Yi Xue,,1003-0603,
11495296,Asian Pac J Allergy Immunol,,0125-877X,"Allergy, Asthma, and Immunology Association of Thailand"
26899329,Zhonghua Zhong Liu Za Zhi,10.3760/cma.j.issn.0253-3766.2016.02.006,0253-3766,
31938213,Int J Clin Exp Pathol,,1936-2625,e-Century Publishing Corporation
15455072,J Insect Sci,,1536-2442,Oxford University Press (OUP)
22073819,Adv Perit Dial,,1197-8554,
20069063,Mol Vis,,1090-0535,
16396108,Mikrobiol Z,,1028-0987,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka)
10648640,Mol Pharmacol,,0026-895X,American Society for Pharmacology & Experimental Therapeutics (ASPET)
15232201,Indian J Med Res,,0971-5916,Scientific Scholar
14739999,Acta Biochim Pol,,0001-527X,Frontiers Media SA
15648401,Indian J Physiol Pharmacol,,0019-5499,Scientific Scholar
11816710,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
24984543,Eur J Gynaecol Oncol,,0392-2936,MRE Press
23293203,Ann Hepatol,,1665-2681,Elsevier BV
30782301,Cell Mol Biol (Noisy-le-grand),,1165-158X,CMB Association
16933603,Wei Sheng Wu Xue Bao,,0001-6209,China Science Publishing & Media Ltd.
21906486,Dermatol Online J,,1087-2108,California Digital Library (CDL)
11427454,Clin Chem,,0009-9147,Oxford University Press (OUP)
19082481,Int J Oncol,,1019-6439,Spandidos Publications
23101406,Ontogenez,,0475-1450,Akademizdatcenter Nauka
18989526,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
28876618,S Afr J Surg,,0038-2361,Medpharm Publications
18318190,Eksp Klin Farmakol,,0869-2092,Folium Publishing Company
22541085,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137,
23996750,Nan Fang Yi Ke Da Xue Xue Bao,,1673-4254,
12784384,J Rheumatol,,0315-162X,The Journal of Rheumatology
11381075,Invest Ophthalmol Vis Sci,,0146-0404,Association for Research in Vision and Ophthalmology (ARVO)
17688791,Zhonghua Wai Ke Za Zhi,,0529-5815,
22642105,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
12622899,Zhonghua Bing Li Xue Za Zhi,,0529-5807,
18038798,Zhongguo Ji Sheng Chong Xue Yu Ji Sheng Chong Bing Za Zhi,,1000-7423,
37293178,Am J Cancer Res,,2156-6976,e-Century Publishing Corporation
12066838,In Silico Biol,,1386-6338,IOS Press
15989784,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
10979565,Ukr Biokhim Zh (1999),,,
17392490,Exp Biol Med (Maywood),,1535-3702,Frontiers Media SA
18620547,Biosci Rep,10.1042/BSR20080085,0144-8463,Portland Press Ltd.
28003732,Mol Vis,,1090-0535,
12053769,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
24966962,Int J Clin Exp Pathol,,1936-2625,e-Century Publishing Corporation
18690348,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
31539156,Eur Rev Med Pharmacol Sci,10.26355/eurrev_201909_18887,2284-0729,
19846984,Anticancer Res,,1791-7530,Anticancer Research USA Inc.
14612968,Int J Mol Med,,1107-3756,Spandidos Publications
15517779,Ginekol Pol,,0017-0011,VM Media SP. zo.o VM Group SK
24622432,Chin Med J (Engl),,2542-5641,Ovid Technologies (Wolters Kluwer Health)
15701049,Biochemistry (Mosc),,0006-2979,Springer Science and Business Media LLC
30223933,Pharmazie,10.1691/ph.2018.8600,0031-7144,
14612534,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
26008601,Nat Commun,10.1038/ncomms8215,2041-1723,Springer Science and Business Media LLC
38074477,MicroPubl Biol,10.17912/micropub.biology.001012,2578-9430,
15455686,Vestn Ross Akad Med Nauk,,0869-6047,Paediatrician Publishers LLC
16523381,IDrugs,,1369-7056,
30810108,Pol Merkur Lekarski,,1426-9686,ALUNA
15319176,Eur Cytokine Netw,,1148-5493,John Libbey Eurotext
15224534,Sb Lek,,0036-5327,
10949049,Int J Dev Biol,,0214-6282,UPV/EHU Press
18309268,J Microbiol Biotechnol,,1017-7825,Korean Society for Microbiology and Biotechnology
17563726,Mol Vis,,1090-0535,
23489802,Chin Med J (Engl),,2542-5641,Ovid Technologies (Wolters Kluwer Health)
22348612,Curr Mol Med,,1875-5666,Bentham Science Publishers Ltd.
28959866,Sheng Wu Gong Cheng Xue Bao,10.13345/j.cjb.160211,1000-3061,
15581219,Can J Vet Res,,0830-9000,
12956408,Mol Cell Biochem,,0300-8177,Springer Science and Business Media LLC
28371616,Discov Med,,1944-7930,
12883694,Oncol Rep,,1021-335X,Spandidos Publications
14534685,Oncol Rep,,1021-335X,Spandidos Publications
21138676,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
22624463,Klin Lab Diagn,,0869-2084,EKOlab
15597579,J Heart Valve Dis,,0966-8519,International Academic and Research Consortium
17257496,Cell Mol Immunol,,1672-7681,Springer Science and Business Media LLC
21575372,Zhonghua Er Ke Za Zhi,,0578-1310,
15816545,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
28625263,Zhonghua Wei Zhong Bing Ji Jiu Yi Xue,10.3760/cma.j.issn.2095-4352.2017.02.011,2095-4352,
15318938,Breast Cancer Res,10.1186/bcr912,1465-542X,Springer Science and Business Media LLC
12778443,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,,1003-9406,
24753134,Hippocampus,10.1002/hipo.22290,1098-1063,Wiley
21213210,Eur Cell Mater,,1473-2262,Forum Multimedia Publishing LLC
18396625,Zhonghua Yi Xue Za Zhi,,0376-2491,
23849407,J Am Assoc Lab Anim Sci,,2769-6677,
22199327,Anticancer Res,,1791-7530,Anticancer Research USA Inc.
10979579,Ukr Biokhim Zh (1999),,,
24214601,Georgian Med News,,1512-0112,
16127743,World J Gastroenterol,10.3748/wjg.v11.i33.5142,1007-9327,Baishideng Publishing Group Inc.
10652437,Int J Cancer,,0020-7136,Wiley
19205432,Biomed Khim,,2310-6972,Institute of Biochemistry
17063776,Rev Latinoam Microbiol,,0187-4640,
15685856,Vopr Pitan,,0042-8833,Geotar-Media Publishing Group
29564062,Gastroenterol Hepatol Bed Bench,,2008-2258,
15664347,J Chromatogr B Analyt Technol Biomed Life Sci,10.1016/j.jchromb.2004.11.029,1570-0232,Elsevier BV
17883102,Indian J Pathol Microbiol,,0377-4929,Medknow
28686022,J Org Chem,10.1021/acs.joc.7b01235,1520-6904,American Chemical Society (ACS)
23897473,Acta Crystallogr D Biol Crystallogr,10.1107/S090744491301010X,1399-0047,International Union of Crystallography (IUCr)
15668243,J Biol Chem,10.1074/jbc.M409187200,0021-9258,Elsevier BV
24522142,Trop Biomed,,2521-9855,Malaysian Society of Parasitology and Tropical Medicine
25423737,Mikrobiologiia,,0026-3656,Akademizdatcenter Nauka
19622302,Ai Zheng,,,
16045029,Zhong Nan Da Xue Xue Bao Yi Xue Ban,,1672-7347,
17143486,Oncol Rep,,1021-335X,Spandidos Publications
27566091,In Vivo,,1791-7549,Anticancer Research USA Inc.
19402511,Huan Jing Ke Xue,,0250-3301,
27192020,Clin Exp Rheumatol,,0392-856X,Clinical and Experimental Rheumatology
26045787,Int J Clin Exp Pathol,,1936-2625,e-Century Publishing Corporation
21546551,Nucleic Acids Res,10.1093/nar/gkr313,1362-4962,Oxford University Press (OUP)
11110685,Blood,,0006-4971,American Society of Hematology
12693381,Am J Dent,,0894-8275,
21467605,J Popul Ther Clin Pharmacol,,2561-8741,
12438242,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
18269877,Zhonghua Yi Xue Za Zhi,,0376-2491,
14679002,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
27466484,Anticancer Res,,1791-7530,Anticancer Research USA Inc.
10914725,Clin Cancer Res,,1078-0432,American Association for Cancer Research (AACR)
22900345,Indian J Biochem Biophys,,0301-1208,CSIR-National Institute of Science Communication and Policy Research (NIScPR)
16363120,Shi Yan Sheng Wu Xue Bao,,0001-5334,
15029693,Prikl Biokhim Mikrobiol,,0555-1099,Pleiades Publishing Ltd
15990925,Acta Biochim Pol,,1734-154X,Frontiers Media SA
12921625,Zhonghua Shao Shang Za Zhi,,1009-2587,
16550931,Acta Myol,,1128-2460,
20578419,Acta Biomed,,0392-4203,
23757854,Bing Du Xue Bao,,1000-8721,
11894131,Int J Oncol,,1019-6439,Spandidos Publications
11710529,Mol Cells,,1016-8478,Elsevier BV
11001881,Blood,,0006-4971,American Society of Hematology
10780796,J Investig Allergol Clin Immunol,,1018-9068,"Esmon Publicidad, SA"
10731476,Clin Sci (Lond),,0143-5221,Portland Press Ltd.
23020031,Ann Agric Environ Med,,1898-2263,Institute of Rural Health
11859854,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
24551953,Kekkaku,,0022-9776,
26234070,Vestn Khir Im I I Grek,,0042-4625,FSBEI HE I.P. Pavlov SPbSMU MOH Russia
11548547,Vojnosanit Pregl,,0042-8450,National Library of Serbia
30864745,Histol Histopathol,10.14670/HH-18-100,1699-5848,
25481955,Biofizika,,0006-3029,Pleiades Publishing Ltd
19952394,Zhong Nan Da Xue Xue Bao Yi Xue Ban,,1672-7347,
19253682,Probl Tuberk Bolezn Legk,,1728-2993,
