publisher,journal,total_pmids
Ovid Technologies (Wolters Kluwer Health),Health Phys,2
Ovid Technologies (Wolters Kluwer Health),Hepatol Commun,5
Ovid Technologies (Wolters Kluwer Health),Hepatology,79
Ovid Technologies (Wolters Kluwer Health),Hypertension,29
Ovid Technologies (Wolters Kluwer Health),Implant Dent,1
Ovid Technologies (Wolters Kluwer Health),Int J Gynecol Pathol,1
Ovid Technologies (Wolters Kluwer Health),Int J Surg,1
Ovid Technologies (Wolters Kluwer Health),Invest Radiol,3
Ovid Technologies (Wolters Kluwer Health),J Acquir Immune Defic Syndr,9
Ovid Technologies (Wolters Kluwer Health),J Am Heart Assoc,28
Ovid Technologies (Wolters Kluwer Health),J Am Soc Nephrol,55
Ovid Technologies (Wolters Kluwer Health),J Cardiovasc Med (Hagerstown),1
Ovid Technologies (Wolters Kluwer Health),J Cardiovasc Pharmacol,34
Ovid Technologies (Wolters Kluwer Health),J Cataract Refract Surg,1
Ovid Technologies (Wolters Kluwer Health),J Chin Med Assoc,2
Ovid Technologies (Wolters Kluwer Health),J Clin Gastroenterol,2
Ovid Technologies (Wolters Kluwer Health),J Clin Psychopharmacol,1
Ovid Technologies (Wolters Kluwer Health),J Craniofac Surg,2
Ovid Technologies (Wolters Kluwer Health),J Hypertens,5
Ovid Technologies (Wolters Kluwer Health),J Immunother,14
Ovid Technologies (Wolters Kluwer Health),J Neuroophthalmol,1
Ovid Technologies (Wolters Kluwer Health),J Pediatr Hematol Oncol,1
Ovid Technologies (Wolters Kluwer Health),J Pediatr Orthop,1
Ovid Technologies (Wolters Kluwer Health),J Trauma,8
Ovid Technologies (Wolters Kluwer Health),J Trauma Acute Care Surg,7
Ovid Technologies (Wolters Kluwer Health),J Urol,9
Ovid Technologies (Wolters Kluwer Health),JBI Libr Syst Rev,1
Ovid Technologies (Wolters Kluwer Health),Kidney360,2
Ovid Technologies (Wolters Kluwer Health),Liver Transpl,7
Ovid Technologies (Wolters Kluwer Health),Med Sci Sports Exerc,8
Ovid Technologies (Wolters Kluwer Health),Medicine (Baltimore),12
Ovid Technologies (Wolters Kluwer Health),Melanoma Res,4
Ovid Technologies (Wolters Kluwer Health),Menopause,3
Ovid Technologies (Wolters Kluwer Health),Mod Pathol,1
Ovid Technologies (Wolters Kluwer Health),Neurol Genet,2
Ovid Technologies (Wolters Kluwer Health),Neurol Neuroimmunol Neuroinflamm,8
Ovid Technologies (Wolters Kluwer Health),Neurology,22
Ovid Technologies (Wolters Kluwer Health),Neuroreport,29
Ovid Technologies (Wolters Kluwer Health),Neurosurgery,4
Ovid Technologies (Wolters Kluwer Health),Obstet Gynecol,2
Ovid Technologies (Wolters Kluwer Health),Optom Vis Sci,1
Ovid Technologies (Wolters Kluwer Health),Otol Neurotol,1
Ovid Technologies (Wolters Kluwer Health),Pain,16
Ovid Technologies (Wolters Kluwer Health),Pancreas,18
Ovid Technologies (Wolters Kluwer Health),Pediatr Infect Dis J,2
Ovid Technologies (Wolters Kluwer Health),Pharmacogenet Genomics,4
Ovid Technologies (Wolters Kluwer Health),Pharmacogenetics,3
Ovid Technologies (Wolters Kluwer Health),Plast Reconstr Surg,8
Ovid Technologies (Wolters Kluwer Health),Psychiatr Genet,4
Ovid Technologies (Wolters Kluwer Health),Psychosom Med,2
Ovid Technologies (Wolters Kluwer Health),Sex Transm Dis,1
Ovid Technologies (Wolters Kluwer Health),Shock,38
Ovid Technologies (Wolters Kluwer Health),Spine (Phila Pa 1976),8
Ovid Technologies (Wolters Kluwer Health),Stroke,9
Ovid Technologies (Wolters Kluwer Health),Ther Drug Monit,1
Ovid Technologies (Wolters Kluwer Health),Transplantation,45
Oxford University Press (OUP),Alcohol Alcohol,4
Oxford University Press (OUP),Am J Clin Pathol,11
Oxford University Press (OUP),Am J Health Syst Pharm,1
Oxford University Press (OUP),Am J Hypertens,2
Oxford University Press (OUP),Ann Bot,13
Oxford University Press (OUP),BJS Open,1
Oxford University Press (OUP),Bioinformatics,100
Oxford University Press (OUP),Biol Methods Protoc,1
Oxford University Press (OUP),Biol Reprod,101
Oxford University Press (OUP),Biometrics,1
Oxford University Press (OUP),Biosci Biotechnol Biochem,27
Oxford University Press (OUP),Biostatistics,2
Oxford University Press (OUP),Br J Dermatol,21
Oxford University Press (OUP),Br J Radiol,1
Oxford University Press (OUP),Br J Surg,1
Oxford University Press (OUP),Brain,50
Oxford University Press (OUP),Brain Commun,1
Oxford University Press (OUP),Brief Bioinform,20
Oxford University Press (OUP),Brief Funct Genomic Proteomic,3
Oxford University Press (OUP),Brief Funct Genomics,1
Oxford University Press (OUP),Carcinogenesis,75
Oxford University Press (OUP),Cardiovasc Res,78
Oxford University Press (OUP),Cereb Cortex,22
Oxford University Press (OUP),Chem Senses,7
Oxford University Press (OUP),Clin Chem,24
Oxford University Press (OUP),Clin Exp Dermatol,2
Oxford University Press (OUP),Clin Exp Immunol,63
Oxford University Press (OUP),Clin Infect Dis,5
Oxford University Press (OUP),Clin Kidney J,1
Oxford University Press (OUP),DNA Res,5
Oxford University Press (OUP),Database (Oxford),10
Oxford University Press (OUP),Dis Esophagus,1
Oxford University Press (OUP),Environ Entomol,2
Oxford University Press (OUP),Environ Epigenet,1
Oxford University Press (OUP),Eur Heart J,6
Oxford University Press (OUP),Eur J Cardiothorac Surg,4
Oxford University Press (OUP),Eur J Endocrinol,8
Oxford University Press (OUP),Eur J Prev Cardiol,1
Oxford University Press (OUP),Europace,1
Oxford University Press (OUP),FEMS Immunol Med Microbiol,12
Oxford University Press (OUP),FEMS Microbes,1
Oxford University Press (OUP),FEMS Microbiol Ecol,15
Oxford University Press (OUP),FEMS Microbiol Lett,65
Oxford University Press (OUP),FEMS Microbiol Rev,1
Oxford University Press (OUP),FEMS Yeast Res,24
Oxford University Press (OUP),Function (Oxf),1
Oxford University Press (OUP),G3 (Bethesda),54
Oxford University Press (OUP),Genetics,172
Oxford University Press (OUP),Genome Biol Evol,28
Oxford University Press (OUP),Genomics Proteomics Bioinformatics,9
Oxford University Press (OUP),Gigascience,1
Oxford University Press (OUP),Glycobiology,86
Oxford University Press (OUP),Hortic Res,13
Oxford University Press (OUP),Hum Mol Genet,251
Oxford University Press (OUP),Hum Reprod,39
Oxford University Press (OUP),ILAR J,1
Oxford University Press (OUP),ISME J,18
Oxford University Press (OUP),Inflamm Bowel Dis,20
Oxford University Press (OUP),Int Immunol,50
Oxford University Press (OUP),Int J Epidemiol,2
Oxford University Press (OUP),Int J Neuropsychopharmacol,7
Oxford University Press (OUP),Integr Biol (Camb),17
Oxford University Press (OUP),Integr Comp Biol,4
Oxford University Press (OUP),J AOAC Int,1
Oxford University Press (OUP),J Anal Toxicol,1
Oxford University Press (OUP),J Anim Sci,22
Oxford University Press (OUP),J Antimicrob Chemother,41
Oxford University Press (OUP),J Appl Lab Med,2
Oxford University Press (OUP),J Appl Microbiol,18
Oxford University Press (OUP),J Biochem,86
Oxford University Press (OUP),J Bone Miner Res,38
Oxford University Press (OUP),J Burn Care Res,1
Oxford University Press (OUP),J Chromatogr Sci,3
Oxford University Press (OUP),J Crohns Colitis,16
Oxford University Press (OUP),J Econ Entomol,5
Oxford University Press (OUP),J Evol Biol,3
Oxford University Press (OUP),J Exp Bot,133
Oxford University Press (OUP),J Gerontol A Biol Sci Med Sci,15
Oxford University Press (OUP),J Hered,4
Oxford University Press (OUP),J Ind Microbiol Biotechnol,17
Oxford University Press (OUP),J Infect Dis,51
Oxford University Press (OUP),J Insect Sci,11
Oxford University Press (OUP),J Leukoc Biol,79
Oxford University Press (OUP),J Med Entomol,4
Oxford University Press (OUP),J Mol Cell Biol,24
Oxford University Press (OUP),J Natl Cancer Inst,28
Oxford University Press (OUP),J Neuropathol Exp Neurol,38
Oxford University Press (OUP),J Pediatr Psychol,2
Oxford University Press (OUP),J Pharm Pharmacol,15
Oxford University Press (OUP),J Radiat Res,5
Oxford University Press (OUP),J Sex Med,3
Oxford University Press (OUP),JNCI Cancer Spectr,1
Oxford University Press (OUP),Jpn J Clin Oncol,1
Oxford University Press (OUP),Lett Appl Microbiol,8
Oxford University Press (OUP),Life Metab,1
Oxford University Press (OUP),Math Med Biol,3
Oxford University Press (OUP),Med Mycol,15
Oxford University Press (OUP),Metallomics,47
Oxford University Press (OUP),Microsc Microanal,5
Oxford University Press (OUP),Mil Med,1
Oxford University Press (OUP),Mod Rheumatol,2
Oxford University Press (OUP),Mol Biol Evol,69
Oxford University Press (OUP),Mol Hum Reprod,29
Oxford University Press (OUP),Mutagenesis,8
Oxford University Press (OUP),NAR Cancer,2
Oxford University Press (OUP),NAR Genom Bioinform,1
Oxford University Press (OUP),Natl Sci Rev,2
Oxford University Press (OUP),Nephrol Dial Transplant,22
Oxford University Press (OUP),Neuro Oncol,23
Oxford University Press (OUP),Neurooncol Adv,1
Oxford University Press (OUP),Nucleic Acids Res,920
Oxford University Press (OUP),Nucleic Acids Res Suppl,1
Oxford University Press (OUP),Nucleic Acids Symp Ser,1
Oxford University Press (OUP),Nucleic Acids Symp Ser (Oxf),12
Oxford University Press (OUP),Oncologist,1
Oxford University Press (OUP),Open Forum Infect Dis,1
Oxford University Press (OUP),Pain Med,2
Oxford University Press (OUP),Pathog Dis,4
Oxford University Press (OUP),Plant Cell,236
Oxford University Press (OUP),Plant Cell Physiol,132
Oxford University Press (OUP),Plant Physiol,345
Oxford University Press (OUP),Poult Sci,1
Oxford University Press (OUP),Protein Cell,24
Oxford University Press (OUP),Protein Eng,22
Oxford University Press (OUP),Protein Eng Des Sel,19
Oxford University Press (OUP),QJM,2
Oxford University Press (OUP),Radiat Prot Dosimetry,3
Oxford University Press (OUP),Rheumatology (Oxford),31
Oxford University Press (OUP),Schizophr Bull,5
Oxford University Press (OUP),Sleep,3
Oxford University Press (OUP),Soc Cogn Affect Neurosci,1
Oxford University Press (OUP),Stem Cells,50
Oxford University Press (OUP),Stem Cells Transl Med,3
Oxford University Press (OUP),Syst Biol,1
Oxford University Press (OUP),Toxicol Res (Camb),1
Oxford University Press (OUP),Toxicol Sci,65
Oxford University Press (OUP),Tree Physiol,15
PAGEPress Publications,Arch Ital Urol Androl,1
PAGEPress Publications,Eur J Histochem,11
PAGEPress Publications,Eur J Transl Myol,1
PAGEPress Publications,Pediatr Med Chir,1
PAGEPress Publications,Reumatismo,1
Paediatrician Publishers LLC,Vestn Ross Akad Med Nauk,4
Pakistan Medical Association,J Pak Med Assoc,1
Pan African Medical Journal,Pan Afr Med J,1
"Parenteral Drug Association, Inc.",PDA J Pharm Sci Technol,1
PeerJ,PeerJ,32
Pensoft Publishers,Folia Med (Plovdiv),1
Pharmaceutical Society of Japan,Biol Pharm Bull,57
Pharmaceutical Society of Japan,Chem Pharm Bull (Tokyo),14
Pharmaceutical Society of Japan,Yakugaku Zasshi,1
Pisa University Press,Arch Ital Biol,1
Pleiades Publishing Ltd,Biochemistry (Mosc),72
Pleiades Publishing Ltd,Biofizika,26
Pleiades Publishing Ltd,Bioorg Khim,11
Pleiades Publishing Ltd,Dokl Biochem Biophys,23
Pleiades Publishing Ltd,Dokl Biol Sci,2
Pleiades Publishing Ltd,Genetika,1
Pleiades Publishing Ltd,Mol Biol,1
Pleiades Publishing Ltd,Mol Biol (Mosk),2
Pleiades Publishing Ltd,Prikl Biokhim Mikrobiol,7
Pleiades Publishing Ltd,Russ J Gen Chem,1
Pleiades Publishing Ltd,Tsitologiia,26
Polish Academy of Sciences Chancellery,Pol J Vet Sci,4
Polish Pharmaceutical Society,Acta Pol Pharm,3
Polish Society of Microbiologists,Pol J Microbiol,1
Polskie Towarzystwo Biochemiczne (Polish Biochemical Society),Postepy Biochem,1
Polskie Towarzystwo Kardiologiczne,Kardiol Pol,1
Portico,Eur J Morphol,1
Portico,Methods Find Exp Clin Pharmacol,1
Portland Press Ltd.,Biochem J,436
Portland Press Ltd.,Biochem Soc Symp,3
Portland Press Ltd.,Biochem Soc Trans,48
Portland Press Ltd.,Biosci Rep,46
Portland Press Ltd.,Clin Sci (Lond),22
Portland Press Ltd.,Emerg Top Life Sci,4
Portland Press Ltd.,Essays Biochem,4
Proceedings of the National Academy of Sciences,Autophagy,1
Proceedings of the National Academy of Sciences,Proc Natl Acad Sci U S A,2000
Public Library of Science (PLoS),PLOS Digit Health,1
Public Library of Science (PLoS),PLoS Biol,111
Public Library of Science (PLoS),PLoS Comput Biol,152
Public Library of Science (PLoS),PLoS Genet,292
Public Library of Science (PLoS),PLoS Med,4
Public Library of Science (PLoS),PLoS Negl Trop Dis,41
Public Library of Science (PLoS),PLoS One,2300
Public Library of Science (PLoS),PLoS Pathog,281
"Publicidad Permanyer, SLU",Bol Med Hosp Infant Mex,1
"Publicidad Permanyer, SLU",Gac Med Mex,2
Publishing House OKI,Antibiot Khimioter,2
Quintessence Publishing,Int J Oral Maxillofac Implants,1
Quintessence Publishing,J Orofac Pain,1
Radiation Research Society,Radiat Res,23
Research Square Platform LLC,Res Sq,9
Rockefeller University Press,J Cell Biol,443
Rockefeller University Press,J Exp Med,125
Rockefeller University Press,J Gen Physiol,34
Romanian Society of Gastroenterology and Hepatology,J Gastrointestin Liver Dis,1
Royal College of Psychiatrists,Eur Psychiatry,2
Royal Society of Chemistry (RSC),Anal Methods,3
Royal Society of Chemistry (RSC),Analyst,50
Royal Society of Chemistry (RSC),Biomater Sci,17
Royal Society of Chemistry (RSC),Chem Commun (Camb),64
Royal Society of Chemistry (RSC),Chem Sci,20
Royal Society of Chemistry (RSC),Chem Soc Rev,1
Royal Society of Chemistry (RSC),Dalton Trans,89
Royal Society of Chemistry (RSC),Faraday Discuss,5
Royal Society of Chemistry (RSC),Food Funct,30
Royal Society of Chemistry (RSC),Inorg Chem Front,1
Royal Society of Chemistry (RSC),J Environ Monit,1
Royal Society of Chemistry (RSC),J Mater Chem B,22
Royal Society of Chemistry (RSC),Lab Chip,30
Royal Society of Chemistry (RSC),Mater Horiz,1
Royal Society of Chemistry (RSC),Mol Biosyst,85
Royal Society of Chemistry (RSC),Mol Omics,1
Royal Society of Chemistry (RSC),Nanoscale,35
Royal Society of Chemistry (RSC),Nanoscale Adv,3
Royal Society of Chemistry (RSC),Nanoscale Horiz,1
Royal Society of Chemistry (RSC),Org Biomol Chem,37
Royal Society of Chemistry (RSC),Phys Chem Chem Phys,97
Royal Society of Chemistry (RSC),RSC Adv,7
Royal Society of Chemistry (RSC),RSC Chem Biol,5
Royal Society of Chemistry (RSC),Soft Matter,16
S. Karger AG,Acta Haematol,2
S. Karger AG,Am J Nephrol,2
S. Karger AG,Ann Nutr Metab,3
S. Karger AG,Audiol Neurootol,2
S. Karger AG,Biol Neonate,2
S. Karger AG,Blood Purif,3
S. Karger AG,Brain Behav Evol,3
S. Karger AG,Cardiorenal Med,1
S. Karger AG,Caries Res,1
S. Karger AG,Cell Physiol Biochem,83
S. Karger AG,Cells Tissues Organs,13
S. Karger AG,Cerebrovasc Dis,2
S. Karger AG,Cerebrovasc Dis Extra,1
S. Karger AG,Chemotherapy,1
S. Karger AG,Contrib Nephrol,1
S. Karger AG,Curr Probl Dermatol,1
S. Karger AG,Cytogenet Cell Genet,3
S. Karger AG,Cytogenet Genome Res,14
S. Karger AG,Dement Geriatr Cogn Disord,1
S. Karger AG,Dermatology,2
S. Karger AG,Dev Neurosci,3
S. Karger AG,Dig Dis,2
S. Karger AG,Endocr Dev,1
S. Karger AG,Eur Neurol,1
S. Karger AG,Eur Surg Res,4
S. Karger AG,Exp Nephrol,1
S. Karger AG,Gerontology,2
S. Karger AG,Gynecol Obstet Invest,1
S. Karger AG,Haemostasis,1
S. Karger AG,Horm Res,2
S. Karger AG,Horm Res Paediatr,5
S. Karger AG,Hum Hered,1
S. Karger AG,Int Arch Allergy Immunol,12
S. Karger AG,Intervirology,5
S. Karger AG,J Innate Immun,10
S. Karger AG,J Mol Microbiol Biotechnol,14
S. Karger AG,J Nutrigenet Nutrigenomics,1
S. Karger AG,J Vasc Res,10
S. Karger AG,Kidney Blood Press Res,5
S. Karger AG,Med Princ Pract,1
S. Karger AG,Microb Physiol,2
S. Karger AG,Mod Trends Pharmacopsychiatry,1
S. Karger AG,Mol Syndromol,1
S. Karger AG,Monogr Oral Sci,1
S. Karger AG,Neonatology,3
S. Karger AG,Nephron,5
S. Karger AG,Nephron Exp Nephrol,6
S. Karger AG,Nephron Physiol,2
S. Karger AG,Neurodegener Dis,4
S. Karger AG,Neuroendocrinology,7
S. Karger AG,Neuroimmunomodulation,8
S. Karger AG,Neurosignals,1
S. Karger AG,ORL J Otorhinolaryngol Relat Spec,2
S. Karger AG,Obes Facts,1
S. Karger AG,Oncology,3
S. Karger AG,Ophthalmic Res,2
S. Karger AG,Ophthalmologica,2
S. Karger AG,Pathobiology,3
S. Karger AG,Pathophysiol Haemost Thromb,2
S. Karger AG,Pharmacology,6
S. Karger AG,Respiration,2
S. Karger AG,Sex Dev,1
S. Karger AG,Skin Pharmacol Appl Skin Physiol,1
S. Karger AG,Skin Pharmacol Physiol,1
S. Karger AG,Transfus Med Hemother,1
S. Karger AG,Urol Int,1
S.C.  JURNALUL PENTRU MEDICINA SI VIATA S.R.L,J Med Life,6
SAGE Publications,Acupunct Med,1
SAGE Publications,Adv Dent Res,1
SAGE Publications,Am J Rhinol Allergy,4
SAGE Publications,Am J Sports Med,4
SAGE Publications,Anaesth Intensive Care,1
SAGE Publications,Angiology,1
SAGE Publications,Ann Clin Biochem,8
SAGE Publications,Ann Otol Rhinol Laryngol,7
SAGE Publications,Ann Pharmacother,1
SAGE Publications,Antivir Chem Chemother,3
SAGE Publications,Antivir Ther,3
SAGE Publications,Appl Spectrosc,2
SAGE Publications,Asia Pac J Public Health,1
SAGE Publications,Asian Cardiovasc Thorac Ann,1
SAGE Publications,Bioinform Biol Insights,2
SAGE Publications,Biol Res Nurs,1
SAGE Publications,Breast Cancer (Auckl),1
SAGE Publications,Cancer Control,1
SAGE Publications,Cartilage,2
SAGE Publications,Cell Transplant,7
SAGE Publications,Cephalalgia,1
SAGE Publications,Chronic Illn,1
SAGE Publications,Cleft Palate Craniofac J,1
SAGE Publications,Clin Appl Thromb Hemost,7
SAGE Publications,Eur J Mass Spectrom (Chichester),5
SAGE Publications,Eur J Ophthalmol,1
SAGE Publications,Eval Health Prof,1
SAGE Publications,Evol Bioinform Online,1
SAGE Publications,Food Sci Technol Int,1
SAGE Publications,Gene Regul Syst Bio,1
SAGE Publications,Genes Cancer,3
SAGE Publications,Hip Int,1
SAGE Publications,Hum Exp Toxicol,11
SAGE Publications,Innate Immun,8
SAGE Publications,Int J Artif Organs,3
SAGE Publications,Int J Biol Markers,1
SAGE Publications,Int J Immunopathol Pharmacol,12
SAGE Publications,Int J Psychiatry Med,2
SAGE Publications,Int J Surg Pathol,1
SAGE Publications,Int J Toxicol,1
SAGE Publications,Integr Cancer Ther,3
SAGE Publications,J Am Psychiatr Nurses Assoc,1
SAGE Publications,J Biol Rhythms,3
SAGE Publications,J Biomater Appl,2
SAGE Publications,J Cardiovasc Pharmacol Ther,4
SAGE Publications,J Cereb Blood Flow Metab,27
SAGE Publications,J Child Neurol,3
SAGE Publications,J Cutan Med Surg,1
SAGE Publications,J Dent Res,25
SAGE Publications,J Diabetes Sci Technol,3
SAGE Publications,J Endotoxin Res,5
SAGE Publications,J Endovasc Ther,1
SAGE Publications,J Histochem Cytochem,33
SAGE Publications,J Int Med Res,3
SAGE Publications,J Investig Med,2
SAGE Publications,J Nephrol,1
SAGE Publications,J Oncol Pharm Pract,1
SAGE Publications,J Orthop Surg (Hong Kong),2
SAGE Publications,J Otolaryngol Head Neck Surg,1
SAGE Publications,J Psychopharmacol,4
SAGE Publications,J Renin Angiotensin Aldosterone Syst,1
SAGE Publications,J Vet Diagn Invest,6
SAGE Publications,Lab Anim,3
SAGE Publications,Lupus,14
SAGE Publications,Mol Imaging,3
SAGE Publications,Mol Pain,9
SAGE Publications,Mult Scler,5
SAGE Publications,Nat Prod Commun,1
SAGE Publications,Neurorehabil Neural Repair,2
SAGE Publications,Neuroscientist,1
SAGE Publications,Pediatr Dev Pathol,2
SAGE Publications,Perfusion,1
SAGE Publications,Perspect Medicin Chem,1
SAGE Publications,Pharmacogn Mag,2
SAGE Publications,Sci Prog,1
SAGE Publications,Technol Cancer Res Treat,7
SAGE Publications,Ther Adv Cardiovasc Dis,1
SAGE Publications,Toxicol Ind Health,4
SAGE Publications,Toxicol Pathol,9
SAGE Publications,Tumori,1
SAGE Publications,Vasc Endovascular Surg,1
SAGE Publications,Vet Pathol,11
SAGE Publications,Waste Manag Res,1
SAGE Publications,Wilderness Environ Med,1
SPIE-Intl Soc Optical Eng,J Biomed Opt,13
Saint Petersburg Institute of Bioregulation and Gerontology,Adv Gerontol,2
SanovaWorks,J Drugs Dermatol,2
Saudi Medical Journal,Saudi Med J,2
SciELO Agencia Nacional de Investigacion y Desarrollo (ANID),Biol Res,2
SciELO Agencia Nacional de Investigacion y Desarrollo (ANID),Rev Med Chil,2
SciELO Espana/Repisalud,Rev Esp Enferm Dig,1
Science Alert,Pak J Biol Sci,4
"Science China Press., Co. Ltd.",Sci China C Life Sci,1
"Scientific Research Publishing, Inc.",Adv Biosci Biotechnol,1
"Scientific Research Publishing, Inc.",Am J Mol Biol,1
"Scientific Research Publishing, Inc.","Cellbio (Irvine, Calif)",1
"Scientific Research Publishing, Inc.",J Cancer Ther,1
Scientific Scholar,Indian J Dermatol Venereol Leprol,1
Scientific Scholar,Indian J Med Res,7
Scientific Scholar,Indian J Physiol Pharmacol,2
Scientific Societies,Mol Plant Microbe Interact,40
Scientific Societies,Phytopathology,13
Scientific Societies,Plant Dis,10
ScopeMed,Acta Inform Med,1
ScopeMed,J Adv Vet Anim Res,1
ScopeMed,Med Arch,1
ScopeMed,Open Vet J,1
Servier International,Heart Metab,1
Shared Science Publishers OG,Microb Cell,9
Sin-Chn Scientific Press Pte. Ltd (Singapore) (Publications),Mol Cell Biomech,1
Slovenian Chemical Society,Acta Chim Slov,2
Sociedad Espanola de Patologia Digestiva (SEPD),Rev Esp Enferm Dig,2
Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein,Einstein (Sao Paulo),1
Societas Neurologica Japonica,Rinsho Shinkeigaku,2
Societatea Romana de Morfologie,Rom J Morphol Embryol,5
Society for Neuroscience,J Neurosci,376
Society for Neuroscience,eNeuro,19
Society of Nuclear Medicine,J Nucl Med,29
Society of Nuclear Medicine,J Nucl Med Technol,1
Solen s.r.o.,Vnitr Lek,1
South African Medical Association NPC,S Afr Med J,2
Spandidos Publications,Biomed Rep,1
Spandidos Publications,Exp Ther Med,25
Spandidos Publications,Int J Mol Med,98
Spandidos Publications,Int J Oncol,88
Spandidos Publications,Mol Med Rep,88
Spandidos Publications,Oncol Lett,19
Spandidos Publications,Oncol Rep,90
Springer Berlin Heidelberg,Adv Biochem Eng Biotechnol,1
Springer Berlin Heidelberg,Cancer Treat Res,1
Springer Berlin Heidelberg,Ernst Schering Res Found Workshop,1
Springer Berlin Heidelberg,Prog Mol Subcell Biol,2
Springer International Publishing,Adv Biochem Eng Biotechnol,1
Springer International Publishing,Adv Exp Med Biol,21
Springer International Publishing,Adv Neurobiol,1
Springer International Publishing,Curr Top Microbiol Immunol,2
Springer International Publishing,Exp Suppl,1
Springer International Publishing,Handb Exp Pharmacol,2
Springer International Publishing,JIMD Rep,1
Springer International Publishing,Prog Mol Subcell Biol,1
Springer International Publishing,Results Probl Cell Differ,1
Springer International Publishing,Subcell Biochem,6
Springer Japan,Adv Exp Med Biol,1
Springer Nature Switzerland,Adv Exp Med Biol,2
Springer Netherlands,Adv Exp Med Biol,4
Springer Netherlands,Met Ions Life Sci,3
Springer New York,Adv Exp Med Biol,13
Springer New York,Methods Mol Biol,357
Springer Science and Business Media LLC,3 Biotech,7
Springer Science and Business Media LLC,AAPS J,9
Springer Science and Business Media LLC,AAPS PharmSci,5
Springer Science and Business Media LLC,AAPS PharmSciTech,9
Springer Science and Business Media LLC,AMB Express,3
Springer Science and Business Media LLC,Acta Biol Hung,4
Springer Science and Business Media LLC,Acta Diabetol,4
Springer Science and Business Media LLC,Acta Neurochir (Wien),3
Springer Science and Business Media LLC,Acta Neurol Belg,2
Springer Science and Business Media LLC,Acta Neuropathol,37
Springer Science and Business Media LLC,Acta Neuropathol Commun,28
Springer Science and Business Media LLC,Acta Parasitol,3
Springer Science and Business Media LLC,Acta Pharmacol Sin,42
Springer Science and Business Media LLC,Acta Vet Scand,2
Springer Science and Business Media LLC,Adv Rheumatol,1
Springer Science and Business Media LLC,Age (Dordr),3
Springer Science and Business Media LLC,Alzheimers Res Ther,9
Springer Science and Business Media LLC,Amino Acids,37
Springer Science and Business Media LLC,Anal Bioanal Chem,54
Springer Science and Business Media LLC,Anal Sci,14
Springer Science and Business Media LLC,Anat Embryol (Berl),5
Springer Science and Business Media LLC,Angiogenesis,6
Springer Science and Business Media LLC,Ann Biomed Eng,11
Springer Science and Business Media LLC,Ann Hematol,8
Springer Science and Business Media LLC,Ann Surg Oncol,6
Springer Science and Business Media LLC,Antimicrob Resist Infect Control,2
Springer Science and Business Media LLC,Antonie Van Leeuwenhoek,9
Springer Science and Business Media LLC,Apoptosis,41
Springer Science and Business Media LLC,Appl Biochem Biotechnol,41
Springer Science and Business Media LLC,Appl Bioinformatics,1
Springer Science and Business Media LLC,Appl Microbiol Biotechnol,93
Springer Science and Business Media LLC,Arch Dermatol Res,12
Springer Science and Business Media LLC,Arch Environ Contam Toxicol,1
Springer Science and Business Media LLC,Arch Gynecol Obstet,5
Springer Science and Business Media LLC,Arch Microbiol,32
Springer Science and Business Media LLC,Arch Pharm Res,19
Springer Science and Business Media LLC,Arch Toxicol,24
Springer Science and Business Media LLC,Arch Virol,46
Springer Science and Business Media LLC,Arthritis Res,3
Springer Science and Business Media LLC,Arthritis Res Ther,38
Springer Science and Business Media LLC,BMC Anesthesiol,1
Springer Science and Business Media LLC,BMC Biochem,27
Springer Science and Business Media LLC,BMC Bioinformatics,110
Springer Science and Business Media LLC,BMC Biol,49
Springer Science and Business Media LLC,BMC Biophys,1
Springer Science and Business Media LLC,BMC Biotechnol,21
Springer Science and Business Media LLC,BMC Cancer,72
Springer Science and Business Media LLC,BMC Cardiovasc Disord,4
Springer Science and Business Media LLC,BMC Cell Biol,28
Springer Science and Business Media LLC,BMC Chem,1
Springer Science and Business Media LLC,BMC Complement Altern Med,12
Springer Science and Business Media LLC,BMC Complement Med Ther,3
Springer Science and Business Media LLC,BMC Dermatol,1
Springer Science and Business Media LLC,BMC Dev Biol,20
Springer Science and Business Media LLC,BMC Ecol Evol,1
Springer Science and Business Media LLC,BMC Endocr Disord,3
Springer Science and Business Media LLC,BMC Evol Biol,31
Springer Science and Business Media LLC,BMC Gastroenterol,5
Springer Science and Business Media LLC,BMC Genet,13
Springer Science and Business Media LLC,BMC Genom Data,1
Springer Science and Business Media LLC,BMC Genomics,205
Springer Science and Business Media LLC,BMC Immunol,18
Springer Science and Business Media LLC,BMC Infect Dis,16
Springer Science and Business Media LLC,BMC Med,3
Springer Science and Business Media LLC,BMC Med Genet,12
Springer Science and Business Media LLC,BMC Med Genomics,9
Springer Science and Business Media LLC,BMC Med Inform Decis Mak,1
Springer Science and Business Media LLC,BMC Microbiol,64
Springer Science and Business Media LLC,BMC Mol Biol,25
Springer Science and Business Media LLC,BMC Mol Cell Biol,5
Springer Science and Business Media LLC,BMC Musculoskelet Disord,4
Springer Science and Business Media LLC,BMC Nephrol,4
Springer Science and Business Media LLC,BMC Neurol,4
Springer Science and Business Media LLC,BMC Neurosci,34
Springer Science and Business Media LLC,BMC Ophthalmol,2
Springer Science and Business Media LLC,BMC Pediatr,1
Springer Science and Business Media LLC,BMC Pharmacol,2
